date,pred_flow,river_flow,river_stage,flood_flag,cause,flood_type
1975-01-02,50.0305,17.84,NA,0,NA,NA
1975-01-03,15.9438,17.88,NA,0,NA,NA
1975-01-04,30.7553,16.36,NA,0,NA,NA
1975-01-05,45.3183,17.09,NA,0,NA,NA
1975-01-06,42.199,15.72,NA,0,NA,NA
1975-01-07,37.1183,14.58,NA,0,NA,NA
1975-01-08,33.9674,13.63,NA,0,NA,NA
1975-01-09,31.4984,13.06,NA,0,NA,NA
1975-01-10,28.9756,12.57,NA,0,NA,NA
1975-01-11,26.8522,12,NA,0,NA,NA
1975-01-12,33.0517,11.54,NA,0,NA,NA
1975-01-13,46.4374,11.45,NA,0,NA,NA
1975-01-14,48.4385,10.45,NA,0,NA,NA
1975-01-15,42.6473,11.23,NA,0,NA,NA
1975-01-16,37.2523,9.99,NA,0,NA,NA
1975-01-17,35.3887,9.52,NA,0,NA,NA
1975-01-18,34.3526,9.24,NA,0,NA,NA
1975-01-19,37.0311,9.63,NA,0,NA,NA
1975-01-20,56.456,13.26,NA,0,NA,NA
1975-01-21,65.3533,14.71,NA,0,NA,NA
1975-01-22,70.6052,13.63,NA,0,NA,NA
1975-01-23,77.8915,12.07,NA,0,NA,NA
1975-01-24,72.715,12.46,NA,0,NA,NA
1975-01-25,62.4192,12.57,NA,0,NA,NA
1975-01-26,53.8599,11.02,NA,0,NA,NA
1975-01-27,46.8848,10.38,NA,0,NA,NA
1975-01-28,41.3689,9.86,NA,0,NA,NA
1975-01-29,38.1097,9.24,NA,0,NA,NA
1975-01-30,40.3323,9.2,NA,0,NA,NA
1975-01-31,42.5501,9.2,NA,0,NA,NA
1975-02-01,43.1651,10.29,NA,0,NA,NA
1975-02-02,44.7726,10.42,NA,0,NA,NA
1975-02-03,45.3041,9.21,NA,0,NA,NA
1975-02-04,42.457,8.97,NA,0,NA,NA
1975-02-05,42.6574,8.79,NA,0,NA,NA
1975-02-06,49.7967,10.15,NA,0,NA,NA
1975-02-07,216.005,53.07,NA,0,NA,NA
1975-02-08,198.533,27.06,NA,0,NA,NA
1975-02-09,147.53,16.67,NA,0,NA,NA
1975-02-10,127.561,16.55,NA,0,NA,NA
1975-02-11,110.261,27.26,NA,0,NA,NA
1975-02-12,93.0495,20,NA,0,NA,NA
1975-02-13,79.7031,14.34,NA,0,NA,NA
1975-02-14,69.9547,13.39,NA,0,NA,NA
1975-02-15,62.0127,12.4,NA,0,NA,NA
1975-02-16,55.1275,11.41,NA,0,NA,NA
1975-02-17,48.8924,9.7,NA,0,NA,NA
1975-02-18,43.4257,9.16,NA,0,NA,NA
1975-02-19,52.7117,8.91,NA,0,NA,NA
1975-02-20,58.1504,9.02,NA,0,NA,NA
1975-02-21,54.4419,8.14,NA,0,NA,NA
1975-02-22,48.6809,7.72,NA,0,NA,NA
1975-02-23,42.8768,7.57,NA,0,NA,NA
1975-02-24,38.6437,7.35,NA,0,NA,NA
1975-02-25,35.1962,7.33,NA,0,NA,NA
1975-02-26,31.4417,7.2,NA,0,NA,NA
1975-02-27,28.1499,7.52,NA,0,NA,NA
1975-02-28,26.6294,7.19,NA,0,NA,NA
1975-03-01,25.8605,7.09,NA,0,NA,NA
1975-03-02,24.6951,7.37,NA,0,NA,NA
1975-03-03,23.5614,7.93,NA,0,NA,NA
1975-03-04,24.1983,8.14,NA,0,NA,NA
1975-03-05,44.4986,7.76,NA,0,NA,NA
1975-03-06,50.0469,9.09,NA,0,NA,NA
1975-03-07,42.9761,9.16,NA,0,NA,NA
1975-03-08,36.2096,8.2,NA,0,NA,NA
1975-03-09,31.897,7.47,NA,0,NA,NA
1975-03-10,28.4701,7.18,NA,0,NA,NA
1975-03-11,25.1507,6.47,NA,0,NA,NA
1975-03-12,22.3674,6.25,NA,0,NA,NA
1975-03-13,20.0547,6.44,NA,0,NA,NA
1975-03-14,18.5922,6.78,NA,0,NA,NA
1975-03-15,17.2507,6.86,NA,0,NA,NA
1975-03-16,16.3257,5.78,NA,0,NA,NA
1975-03-17,15.3989,5.99,NA,0,NA,NA
1975-03-18,14.9535,6.35,NA,0,NA,NA
1975-03-19,16.9269,6.78,NA,0,NA,NA
1975-03-20,19.0091,5.77,NA,0,NA,NA
1975-03-21,18.3206,5.67,NA,0,NA,NA
1975-03-22,16.6515,5.3,NA,0,NA,NA
1975-03-23,15.0854,5.46,NA,0,NA,NA
1975-03-24,14.0877,5.31,NA,0,NA,NA
1975-03-25,16.3922,5.66,NA,0,NA,NA
